Clean Development Mechanism::SYN::CDM,F 895         
developing countries,F 1107        
Global Environment Facility::SYN::GEF,F 558         
Annex I Parties,F 549         
least developed countries::SYN::LDC,F 516         
informal consultations,F 728         
Alliance of Small Island States::SYN::AOSIS,F 358         
technology transfer,F 645         
draft decision,F 588         
capacity building,F 525         
developed countries,F 512         
national communications,F 442         
Kyoto Protocol,F 417         
joint implementation::SYN::JI,F 407         
commitment period,F 397         
SAUDI ARABIA,F 390         
Protocol Article,F 367         
agenda item,F 336         
financial mechanism,F 326         
second commitment period,F 204         
draft conclusions,F 298         
emission reductions,F 292         
subsidiary bodies::SYN::SBs,F 290         
non-Annex I Parties,F 173         
greenhouse gas,F 269         
adverse effects,F 263         
expressed concern,F 259         
Special Climate Change Fund::SYN::SCCF,F 125         
draft text,F 211         
Adaptation Fund::SYN::AF,F 211         
second commitment,F 205         
RUSSIAN FEDERATION,F 188         
South Africa,F 186         
Executive Board::SYN::EB,F 183         
sustainable development,F 182         
response measures,F 175         
COP decision::SYN::Conference of Parties decision,F 168         
draft COP decision::SYN::draft Conference of Parties decision,F 104         
methodological issues,F 164         
Green Climate Fund::SYN::GCF,F 102         
draft COP::SYN::draft Conference of Parties,F 158         
Annex I countries,F 98          
non-Annex I national communications,F 78          
nationally appropriate mitigation actions::SYN::NAMAs,F 74          
Bali Action Plan::SYN::BAP,F 92          
common but differentiated responsibilities::SYN::CBDR,F 91          
first commitment period,F 90          
outstanding issues,F 137         
Certified Emission Reductions::SYN::CER,F 84          
Nairobi Work Programme::SYN::NWP,F 88          
COP President::SYN::Conference of Parties President,F 131         
greenhouse gas emissions,F 82          
non-governmental organizations::SYN::NGO,F 129         
Third Assessment Report::SYN::TAR,F 80          
non-Annex I communications,F 80          
Assigned Amount Units::SYN::AAUs,F 79          
good practice guidance::SYN::GPG,F 78          
high-level segment,F 122         
UNFCCC Article,F 120         
NON-ANNEX I NATIONAL,F 76          
President Pronk,F 118         
Action Plan,F 117         
technology development and transfer,F 74          
Second Assessment Report::SYN::SAR,F 71          
flexibility mechanisms,F 110         
Global Climate Observing System::SYN::GCOS,F 55          
CDM projects::SYN::Clean Development Mechanism projects,F 107         
CDM Executive Board::SYN::Clean Development Mechanism Executive Board,F 68          
Executive Secretary,F 108         
contact groups and informal consultations,F 54          
carbon capture::SYN::CCS,F 104         
developing country Parties,F 66          
country Parties,F 103         
economies in transition::SYN::EITs,F 103         
land-use change and forestry,F 66          
PAPUA NEW GUINEA,F 64          
environmental integrity,F 98          
COP and::SYN::Conference of Parties and,F 97          
Framework Convention on Climate,F 64          
rules of procedure,F 96          
private sector,F 96          
shared vision,F 94          
developed and developing countries,F 58          
emissions trading,F 91          
Annex I communications,F 57          
United Nations Environmental Programme::SYN::UNEP,F 44          
negotiating text,F 88          
greenhouse gas inventories,F 56          
Joint Implementation Supervisory Committee::SYN::JISC,F 43          
harvested wood products::SYN::HWPs,F 55          
UNFCCC Executive Secretary,F 55          
Buenos Aires,F 86          
Subsidiary Body for Implementation,F 50          
financial resources,F 80          
Adaptation Fund Board::SYN::AFB,F 50          
Subsidiary Body for Scientific,F 49          
Buenos Aires Plan of Action,F 38          
revised draft,F 77          
organizational matters,F 77          
SBSTA Chair,F 78          
SBI Chair,F 77          
Zammit Cutajar,F 76          
Annex I and non-Annex,F 48          
emission reduction targets,F 48          
carbon dioxide,F 75          
Committee of Whole::SYN::COW,F 73          
Technology Executive Committee::SYN::TEC,F 47          
MOP decision,F 73          
intellectual property rights::SYN::IPRs,F 46          
gas emissions,F 72          
Costa Rica,F 72          
adopted conclusions,F 77          
assigned amounts::SYN::AAs,F 71          
reduction targets,F 71          
differentiated responsibilities,F 71          
address climate,F 69          
renewable energy,F 70          
REPUBLIC OF KOREA,F 69          
CLIMATE ACTION NETWORK::SYN::CAN,F 44          
entry into force,F 68          
revised text,F 68          
long-term cooperative action,F 46          
institutional arrangements,F 67          
Consultative Group of Experts,F 44          
national adaptation plans,F 42          
countries with economies in transition,F 42          
draft decision text,F 41          
decision text,F 64          
Chair Estrada,F 64          
ACTIVITIES IMPLEMENTED JOINTLY,F 39          
adequacy of commitments,F 63          
financial support,F 63          
Permanent Secretariat,F 63          
Annex I emission reductions,F 32          
Assessment Report,F 62          
key issues,F 61          
political decision,F 61          
AWG-LCA Chair,F 61          
national adaptation,F 60          
Annex I emission,F 38          
Michael Zammit Cutajar,F 38          
further commitments,F 60          
good practice,F 59          
Compliance Committee,F 59          
